Zone,Circle,Division
LESA TRANS GOMTI ZONE-I,,
LESA TRANS GOMTI ZONE-I,EUDC VI LESA,
LESA TRANS GOMTI ZONE-I,EUDC VI LESA,EUDD-MAHANAGAR
LESA TRANS GOMTI ZONE-I,EUDC VI LESA,EUDD-SITAPUR ROAD
LESA TRANS GOMTI ZONE-I,EUDC X LESA,EUDD-DALIGANJ
LESA TRANS GOMTI ZONE-I,EUDC X LESA,EUDD-RAHIMNAGAR
LESA TRANS GOMTI ZONE-I,EUDC X LESA,EUDD-BAKSHI KA TALAB
LESA TRANS GOMTI ZONE-II,EUDC II LESA,EUDD-GOMTINAGAR
LESA TRANS GOMTI ZONE-II,EUDC II LESA,EUDD-CHINHAT
LESA TRANS GOMTI ZONE-II,EUDC IX LESA,EUDD-INDIRA NAGAR
LESA TRANS GOMTI ZONE-II,EUDC IX LESA,EUDD-MUNSHIPULIYA
LESA CIS GOMATI ZONE-I,EUDC IV LESA,EDD I CESS
LESA CIS GOMATI ZONE-I,EUDC IV LESA,EDD II CESS
LESA CIS GOMATI ZONE-I,EUDC IV LESA,EDD III CESS
LESA CIS GOMATI ZONE-I,EUDC IV LESA,EDD IV CESS
LESA CIS GOMATI ZONE-I,EUDC VII LESA,EUDD-ALAMBAGH
LESA CIS GOMATI ZONE-I,EUDC VII LESA,EUDD-KANPUR ROAD
LESA CIS GOMATI ZONE-I,EUDC VII LESA,EUDD-VRINDAVAN
LESA CIS GOMATI ZONE-II,EUDC III LESA,EUDD-AISHBAGH
LESA CIS GOMATI ZONE-II,EUDC III LESA,EUDD-RAJA JI PURAM
LESA CIS GOMATI ZONE-II,EUDC III LESA,EUDD-UPTRON
LESA CIS GOMATI ZONE-II,EUDC I LESA,EUDD-HUSAINGANJ
LESA CIS GOMATI ZONE-II,EUDC I LESA,EUDD-RAJ BHAWAN
LESA CIS GOMATI ZONE-II,EUDC I LESA,EUDD-AMINABAD
LESA CIS GOMATI ZONE-II,EUDC VIII LESA,EUDD-CHOWK
LESA CIS GOMATI ZONE-II,EUDC VIII LESA,EUDD-RESIDENCY
LESA CIS GOMATI ZONE-II,EUDC VIII LESA,EUDD-THAKURGANJ
SITAPUR ZONE,EDC SITAPUR,EDD I SITAPUR
SITAPUR ZONE,EDC SITAPUR,EDD II SITAPUR
SITAPUR ZONE,EDC SITAPUR,EDD BISHWA
SITAPUR ZONE,EDC SITAPUR,EDD MAHAMOODABAD
SITAPUR ZONE,EDC HARDOI,EDD I HARDOI
SITAPUR ZONE,EDC HARDOI,EDD II HARDOI
SITAPUR ZONE,EDC HARDOI,EDD SHAHABAD
SITAPUR ZONE,EDC HARDOI,EDD SANDILA
SITAPUR ZONE,EDC LAKHIMPUR,EDD I LAKHIMPUR
SITAPUR ZONE,EDC LAKHIMPUR,EDD II LAKHIMPUR-MITAULI
SITAPUR ZONE,EDC LAKHIMPUR,EDD NIGHASAN
SITAPUR ZONE,EDC GOLA,EDD GOLA
SITAPUR ZONE,EDC GOLA,EDD MOHAMADI
SITAPUR ZONE,EDC GOLA,EDD PALIA
RAEBARELI ZONE ,EDC I RAEBARELI,EDD I RAIBAREILI
RAEBARELI ZONE ,EDC I RAEBARELI,EDD II RAIBAREILI
RAEBARELI ZONE ,EDC I RAEBARELI,EDD MAHARAJGANJ
RAEBARELI ZONE ,EDC II RAEBARELI,EDD SALON
RAEBARELI ZONE ,EDC II RAEBARELI,EDD UNCHAHAR
RAEBARELI ZONE ,EDC II RAEBARELI,EDD DALMAU
RAEBARELI ZONE ,EDC II RAEBARELI,EDD LALGANJ
RAEBARELI ZONE ,EDC UNNAO,EDD I UNNAO
RAEBARELI ZONE ,EDC UNNAO,EDD II UNNAO
RAEBARELI ZONE ,EDC UNNAO,EDD PURWA
